Symbol,Volume,Close,Change_%,Market_Cap_Est
NVDA,203851100.0,173.72000122070312,-0.21253094661991828,35413013340.841675
AMZN,122060100.0,214.75,-1.132547598098359,26212406475.0
AAPL,104301700.0,202.3800048828125,-4.026172727730576,21108578555.285645
TSLA,88838600.0,302.6300048828125,-1.1691279423162844,26885225951.782227
INTC,86320300.0,19.309999465942383,-0.9743617131159855,1666844946.8999863
AMD,75227500.0,171.6999969482422,0.9050265943757339,12916561520.42389
F,73507800.0,10.819999694824219,-0.9157544026653974,795354373.5671997
PLTR,61007400.0,154.27000427246094,-0.5030627306963037,9411611858.651733
WBD,59355700.0,12.869999885559082,-1.3036815704851257,763907852.2072792
BAC,52304300.0,45.65999984741211,-1.509923972656619,2388214330.018997
KEY,52086100.0,17.649999618530273,0.5698027681879014,919319645.1307297
PFE,51298900.0,23.489999771118164,0.8154529625709422,1205011149.2586136
HBAN,41446900.0,16.040000915527344,-0.6195692559023815,664808313.9457703
SMCI,40787400.0,56.63999938964844,-0.8229753382596431,2310198311.1053467
UNH,39900800.0,237.77000427246094,-5.1234971895053185,9487213386.47461
T,38813000.0,27.75,0.397976167802519,1077060750.0
GOOGL,34797400.0,189.1300048828125,0.05290488502430121,6581232431.90918
COIN,31275600.0,314.69000244140625,-6.101930928326584,9842118640.356445
MSFT,28955600.0,524.1099853515625,-2.0355167567172896,15175919091.845703
PCG,27503500.0,14.119999885559082,0.8571420397077287,388349416.8524742
CCL,26972300.0,29.06999969482422,0.1033015783440799,784084752.7687073
DOW,25041700.0,21.790000915527344,-5.240269100795678,545658665.9263611
MU,23955500.0,104.87999725341797,-0.5782544532224954,2512452774.204254
AMCR,22773300.0,9.300000190734863,-0.9584680436342039,211791694.34366226
BAX,22646900.0,21.959999084472656,2.092044866585354,497325903.2661438
CMCSA,22393100.0,32.52000045776367,-2.488749788104138,728223622.2507477
CSCO,21648500.0,67.11000061035156,-0.5925070555793068,1452830848.2131958
AVGO,21413200.0,288.6400146484375,0.732884079322696,6180706361.669922
GOOG,21215400.0,189.9499969482422,0.0895764411628069,4029865165.2557373
VZ,20825900.0,42.880001068115234,-0.9471005745926186,893014614.244461
NCLH,20431100.0,24.5,-1.9607834157904809,500561950.0
XOM,19649500.0,109.63999938964844,-2.1071434020996094,2154371168.006897
AES,19648000.0,13.229999542236328,0.5319125808195513,259943031.00585938
CSX,19266000.0,35.0099983215332,-0.737176446997286,674502627.6626587
CMG,19089100.0,42.52000045776367,-0.21121837901599613,811668540.7382965
META,18991000.0,750.010009765625,-1.4091689532887242,14243440095.458984
HAL,18960200.0,21.600000381469727,-2.439019977711416,409540327.2327423
BMY,18627500.0,44.22999954223633,1.4216898032732395,823894316.4730072
C,17723900.0,91.83000183105469,-0.021770978114975515,1627585769.4534302
CNC,17529300.0,25.90999984741211,-1.1068736911548385,454184160.3252411
SLB,17070100.0,33.04999923706055,-1.6661748382073533,564166791.9765472
KHC,16934600.0,27.40999984741211,-1.046934684259444,464177383.4159851
WMT,16742200.0,98.48999786376953,0.4999978201729911,1648939242.2348022
LRCX,16599700.0,96.37000274658203,3.9477981860128866,1599713134.5924377
KMI,16329100.0,28.100000381469727,1.1519067203553024,458847716.2290573
MRNA,16271600.0,27.604999542236328,0.1269490308288976,449177510.55145264
PANW,16234700.0,172.8800048828125,-0.14440015765564088,2806655015.270996
SBUX,16216300.0,86.86000061035156,-1.730963672204818,1408547827.897644
KO,16101300.0,68.86000061035156,0.37901186882468063,1108735527.8274536
WFC,16070300.0,77.77999877929688,-1.7805324139908387,1249947914.3829346
UBER,15722200.0,86.91000366210938,0.4681884533270749,1366416459.576416
HST,15665200.0,15.529999732971191,-1.0197568622764785,243280551.8169403
FCX,15584500.0,40.029998779296875,0.3509636294573815,623847515.9759521
PYPL,15167000.0,67.11000061035156,-1.3088226318359375,1017857379.2572021
RF,14881800.0,24.889999389648438,-0.08029087870809327,370407992.9168701
HPE,14723000.0,19.809999465942383,-2.3657044254622477,291662622.1370697
OXY,14404400.0,43.40999984741211,-0.41293944607865485,625295001.802063
ON,14273100.0,56.81999969482422,2.047412685704436,810997537.6441956
KVUE,13846400.0,21.59000015258789,-0.5527357758876683,298943778.11279297
DOC,12918400.0,16.770000457763672,-1.8724382209894954,216641573.91357422
ORCL,12709900.0,244.4199981689453,-1.3759446543659266,3106553734.727478
QCOM,12701900.0,148.19000244140625,1.1812069153587321,1882294592.010498
LUV,12570000.0,29.799999237060547,-1.5852095069359018,374585990.4098511
MNST,12248400.0,59.02000045776367,0.45957524725731386,722900573.6068726
IR,12246100.0,74.9800033569336,-5.328274941811415,918212619.1093445
JPM,12006000.0,289.3699951171875,-0.35468278269455716,3474176161.376953
NKE,11903600.0,74.62000274658203,1.6067541747663185,888246664.6942139
MRK,11898900.0,79.29000091552734,1.6277932928798737,943463791.8937683
EBAY,11878000.0,91.73999786376953,2.87059604152656,1089687694.6258545
KDP,11688100.0,33.31999969482422,1.3381952932345393,389447488.43307495
ANET,11555300.0,117.56999969482422,-0.22065868810157643,1358556617.4736023
MCHP,11541700.0,66.36000061035156,-3.194751778132988,765907219.0444946
CAG,11513600.0,18.510000228881836,0.43407445676269435,213116738.6352539
CVS,11376900.0,62.470001220703125,0.240695646042123,710714956.8878174
NEM,11274800.0,62.59000015258789,-1.680803797343578,705689733.720398
UPS,11261300.0,84.5,-1.4462303413393334,951579850.0
IP,10778900.0,46.40999984741211,1.1772420494912699,500248747.3552704
CVX,10705200.0,151.39999389648438,-0.7473445914672616,1620767214.6606445
